,power_distance,individualism,masculinity,uncertainty_avoidance,long_term_orientation,indulgence
United Kingdom,35.0,89.0,66.0,35.0,51.0,69.0
Germany,35.0,67.0,66.0,65.0,83.0,40.0
France,68.0,71.0,43.0,86.0,63.0,48.0
Italy,50.0,76.0,70.0,75.0,61.0,30.0
Spain,57.0,51.0,42.0,86.0,48.0,44.0
South Africa,49.0,65.0,63.0,49.0,34.0,63.0
Nigeria,80.0,30.0,60.0,55.0,13.0,84.0
Kenya,70.0,25.0,60.0,50.0,30.0,40.0
Morocco,70.0,46.0,53.0,68.0,14.0,25.0
Egypt,70.0,25.0,45.0,80.0,7.0,4.0
Japan,54.0,46.0,95.0,92.0,88.0,42.0
China,80.0,20.0,66.0,30.0,87.0,24.0
India,77.0,48.0,56.0,40.0,51.0,26.0
United States,40.0,91.0,62.0,46.0,26.0,68.0
Canada,39.0,80.0,52.0,48.0,36.0,68.0
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
